constituency_id,constituency_name,coord_one,coord_two,region_code,country_code,electorate_id,population,elected_mp_party_name,elected_mp_party,color
E14000530,Aldershot,-3,-11,SE,UKJ,72430,106193,Conservative,Con,#005af0
E14000531,Aldridge-Brownhills,-3,-1,WM,UKG,60215,77532,Conservative,Con,#005af0
E14000532,Altrincham and Sale West,-7,3,NW,UKD,71511,101457,Conservative,Con,#005af0
E14000533,Amber Valley,0,2,EM,UKF,69510,90132,Conservative,Con,#005af0
E14000534,Arundel and South Downs,0,-15,SE,UKJ,77242,100501,Conservative,Con,#005af0
E14000535,Ashfield,1,2,EM,UKF,77091,106495,Labour,Lab,#dd0018
E14000536,Ashford,12,-13,SE,UKJ,85177,122178,Conservative,Con,#005af0
E14000537,Ashton-under-Lyne,-5,6,NW,UKD,68343,92289,Labour,Lab,#dd0018
E14000538,Aylesbury,2,-6,SE,UKJ,80315,121812,Conservative,Con,#005af0
E14000539,Banbury,1,-5,SE,UKJ,86420,122939,Conservative,Con,#005af0
E14000540,Barking,8,-9,LO,UKI,73977,139764,Labour,Lab,#dd0018
E14000541,Barnsley Central,-2,6,YH,UKE,64534,90319,Labour,Lab,#dd0018
E14000542,Barnsley East,-1,6,YH,UKE,69135,94604,Labour,Lab,#dd0018
E14000543,Barrow and Furness,-5,13,NW,UKD,68338,86806,Labour,Lab,#dd0018
E14000544,Basildon and Billericay,8,-5,EA,UKH,66347,95530,Conservative,Con,#005af0
E14000545,Basingstoke,-3,-10,SE,UKJ,79665,115046,Conservative,Con,#005af0
E14000546,Bassetlaw,2,4,EM,UKF,76796,106994,Labour,Lab,#dd0018
E14000547,Bath,-6,-9,SW,UKK,63084,95024,Conservative,Con,#005af0
E14000548,Batley and Spen,-1,8,YH,UKE,78373,111539,Labour,Lab,#dd0018
E14000549,Battersea,4,-12,LO,UKI,76111,115715,Conservative,Con,#005af0
E14000550,Beaconsfield,-1,-8,SE,UKJ,74726,102421,Conservative,Con,#005af0
E14000551,Beckenham,7,-14,LO,UKI,67439,92767,Conservative,Con,#005af0
E14000552,Bedford,4,-3,EA,UKH,69311,106341,Conservative,Con,#005af0
E14000553,Bermondsey and Old Southwark,5,-11,LO,UKI,83298,144175,Labour,Lab,#dd0018
E14000554,Berwick-upon-Tweed,-4,17,NE,UKC,56969,75542,Conservative,Con,#005af0
